number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
12,100,300,0.7,1,close,5,4,4,4,4,4,20,61,5,0.309640519853813,0.286506731500185,0.290453871684761,0.30421210168583,0.300010445423832,1.01217459858159,0.929777517986892,0.79131469895943,0.982808034807845,0.910073439267539,4.20098568627055
12,100,300,0.7,1,close,5,4,4,4,4,4,20,62,5,0.308695267490903,0.288815675426807,0.295582048168798,0.302841552731502,0.300077068273492,1.02515531445476,0.924083803789548,0.813476508977345,0.987652634389619,0.912578070536259,4.09756061649862
12,100,300,0.7,1,close,5,4,4,4,4,4,20,63,5,0.307955837168201,0.293744659861445,0.294995773065395,0.298807265174522,0.311570386082779,1.04340860033156,0.972219741482112,0.842243346577196,0.977608745261133,0.986871257835149,3.9741025208646
12,100,300,0.7,1,close,5,4,4,4,4,4,20,64,5,0.30516436110814,0.298903772551388,0.299226686482003,0.29936505752208,0.308934483145497,1.02547684414826,0.993002977050674,0.853819210453661,0.976206337237376,0.932848434287805,3.88198624871038
12,100,300,0.7,1,close,5,4,4,4,4,4,20,65,5,0.303551106346705,0.305497548392331,0.285707058830296,0.307972660794392,0.304902650850723,1.003430948972,1.02654247206621,0.799784539289228,1.0344050989273,0.908131154932375,3.7597311280458
12,100,300,0.7,1,close,5,4,4,4,4,4,20,66,5,0.293898549030099,0.311703947867096,0.294057723465345,0.318860075634447,0.315393246908537,0.976152273581402,1.07101073780582,0.880270534712748,1.09831858667695,0.96895977662855,3.6489056259483
12,100,300,0.7,1,close,5,4,4,4,4,4,20,67,5,0.297897268864384,0.322852067319775,0.306045923433779,0.33216609962759,0.322908797596277,1.03619423682261,1.13149965670888,0.954910958231456,1.19829171141136,1.02171449940269,3.53844351689516
12,100,300,0.7,1,close,5,4,4,4,4,4,20,68,5,0.295867688413272,0.327729152760009,0.313316654468067,0.334196522615111,0.32657717316970297,1.01888439035753,1.17077951441676,0.982976936953871,1.21138038812358,1.05543671908088,3.4412154355472
12,100,300,0.7,1,close,5,4,4,4,4,4,20,69,5,0.301177757690799,0.328045967335673,0.307991677425421,0.34454182167362,0.31746566407308,1.05362182023631,1.17359867333572,0.974077208495318,1.27973488748471,1.06865891867047,3.3274489122692
12,100,300,0.7,1,close,5,4,4,4,4,4,20,70,5,0.306334152114467,0.320998456294486,0.316692235047002,0.35580129984206,0.310919308795756,1.11296852789257,1.15935509345599,1.03491596659922,1.39666287808031,1.03912010837997,3.212629959541
12,100,300,0.7,1,close,5,4,4,4,4,4,20,71,5,0.310834332278508,0.327194934658895,0.323160264750015,0.360390288078149,0.313642714555162,1.13129426303734,1.17918328822882,1.07696221024709,1.4047902244851,1.0179383622134,3.12103739636579
12,100,300,0.7,1,close,5,4,4,4,4,4,20,72,5,0.31920837063548,0.335838051979256,0.326727520078916,0.36512929860822,0.310305247812056,1.15253303979195,1.21508851229634,1.11267925366809,1.46079403234668,1.00589158515482,3.01901197481875
12,100,300,0.7,1,close,5,4,4,4,4,4,20,73,5,0.330684548246799,0.335082961373774,0.323134130107423,0.367294892609656,0.312182853001444,1.26828557697345,1.20984843630439,1.07669359579748,1.54033283471941,1.00626758505091,2.90839157539116
12,100,300,0.7,1,close,5,4,4,4,4,4,20,74,5,0.345996486082164,0.344767512491387,0.335511185520508,0.36502100869384,0.320967691387004,1.31628873416503,1.28284497279189,1.09208279777979,1.55353513748926,1.0466599880288,2.82014133159113
12,100,300,0.7,1,close,5,4,4,4,4,4,20,75,5,0.357552879472516,0.343499968592775,0.35222887421012,0.365473787469763,0.318673904074405,1.41895615017856,1.2809261834817,1.2068119228810399,1.5229523672169,1.07527682172222,2.69390948419022
12,100,300,0.7,1,close,5,4,4,4,4,4,20,76,5,0.366821280662468,0.352872253055737,0.374555447091194,0.368542742058562,0.334846604923143,1.49605748653442,1.34327453595808,1.34766562916922,1.52410173456043,1.19139276637909,2.59910158578576
12,100,300,0.7,1,close,5,4,4,4,4,4,20,77,5,0.382455685478283,0.352404550018477,0.365043294487751,0.384351766901547,0.352052366343451,1.60562193768798,1.34353199228232,1.21503856374256,1.62342858590736,1.30519756840733,2.49692961751421
12,100,300,0.7,1,close,5,4,4,4,4,4,20,78,5,0.392294382686857,0.350011911903535,0.380186903918892,0.396474803173367,0.364295245224851,1.63923131149787,1.35531960600292,1.32930883561705,1.71297593407208,1.40407038801465,2.40418271508742
12,100,300,0.7,1,close,5,4,4,4,4,4,20,79,5,0.41955732128872403,0.345929409754424,0.37733011681735,0.390748600884656,0.364395170007989,1.91149072118677,1.35848734478026,1.31512566173721,1.70393820368548,1.51098958916568,2.3006826358840202
12,100,300,0.7,1,close,5,4,4,4,4,4,20,80,5,0.440584606573987,0.361606171033552,0.376846642706255,0.393905803959915,0.379691496502497,2.13514440728237,1.48184660647548,1.41634091074386,1.70762046023797,1.63850897921571,2.17370040487661
12,100,300,0.7,1,close,5,4,4,4,4,4,20,81,5,0.438103472192694,0.380373043384525,0.383082884354292,0.422721448568409,0.389954902774769,2.13756231922518,1.59665236616413,1.45918541541282,1.89535551845701,1.75733488394886,2.08391530949963
12,100,300,0.7,1,close,5,4,4,4,4,4,20,82,5,0.456567586267009,0.379450748382386,0.381334192308311,0.430727425260375,0.40501095159896,2.31618201490765,1.63153925377259,1.48254031513913,2.03604590693022,1.86716753203849,1.97138571000413
12,100,300,0.7,1,close,5,4,4,4,4,4,20,83,5,0.46842692390621,0.383438079544058,0.399334937840531,0.426485435899815,0.420422896306311,2.55759494830617,1.69880987284288,1.62333527849465,2.00996394447314,2.01190012251846,1.88471198421487
12,100,300,0.7,1,close,5,4,4,4,4,4,20,84,5,0.480841154306175,0.397982787765207,0.42546717721999,0.426344290979259,0.43584301126455,2.74416810757434,1.91214789450368,1.847661413136,2.05433437512382,2.09121969827825,1.77089602650911
12,100,300,0.7,1,close,5,4,4,4,4,4,20,85,5,0.485265365712565,0.408185814196985,0.450097818163657,0.465130482289556,0.450524645561706,2.92983979539795,1.93967628401265,2.08018625139605,2.32246509135745,2.28962662285795,1.63802620830392
12,100,300,0.7,1,close,5,4,4,4,4,4,20,86,5,0.468258893811256,0.41493996016241,0.453529498239709,0.449989627876961,0.47927756734486,2.80802118690484,2.14222655999386,2.09199802809191,2.19884790709509,2.42149549209166,1.51982958836625
12,100,300,0.7,1,close,5,4,4,4,4,4,20,87,5,0.501900134515416,0.416785389272162,0.44703421783921,0.473817026054315,0.495163059199457,3.19942290075532,2.21013052532885,2.09871499775553,2.65951749123787,2.56015080497699,1.40432806237844
12,100,300,0.7,1,close,5,4,4,4,4,4,20,88,5,0.527262608484333,0.43655398417077,0.483694504166665,0.461928836820466,0.513000906160423,3.34912091639509,2.30104911611897,2.57828837857391,2.51011807732349,2.847565502902,1.29521180711611
12,100,300,0.7,1,close,5,4,4,4,4,4,20,89,5,0.561475600583051,0.481223640197527,0.514127466202873,0.46958893216981,0.546964872486537,3.66916113283636,2.70349737256064,2.96295053015875,2.63886107340812,3.27759806069489,1.17854795346562
12,100,300,0.7,1,close,5,4,4,4,4,4,20,90,5,0.571571736670639,0.483516552852033,0.549050048894263,0.50728638834427,0.605981834972664,3.66627713630863,2.75303362684807,3.31390618415184,2.91529022789011,3.79440123092226,1.06841037712594
12,100,300,0.7,1,close,5,4,4,4,4,4,20,91,5,0.584160718792718,0.561391570663389,0.571728560462049,0.548649115607758,0.65799738045391,3.87220268045137,3.86395493480241,3.66012283194035,3.36366065266072,4.57505947003772,0.94377106409354
12,100,300,0.7,1,close,5,4,4,4,4,4,20,92,5,0.601686757560041,0.56101305571544,0.584570174082758,0.592736941672007,0.643833235909912,4.10174833587999,3.66054543381586,3.82214269414122,3.95875978115785,4.47814255705783,0.841656220278152
12,100,300,0.7,1,close,5,4,4,4,4,4,20,93,5,0.654822788574071,0.588791515807678,0.598594874617469,0.641842386990586,0.637563790545753,4.72995808933353,4.27839939732894,4.22144757107783,4.7152878373946,4.86690290578558,0.746968994722591
12,100,300,0.7,1,close,5,4,4,4,4,4,20,94,5,0.707203068792845,0.626941197392444,0.654066649059733,0.669208306811091,0.71126708635303,5.54201128502153,4.98005725042322,5.52215899464891,6.03713043849122,5.74807327012637,0.639468322862993
12,100,300,0.7,1,close,5,4,4,4,4,4,20,95,5,0.797374018655732,0.733055998447438,0.744046749471074,0.752833953100741,0.822192917148143,7.43840194307069,7.08568829674705,7.03701673758044,7.55381777157356,7.98226526072499,0.507968186144902
12,100,300,0.7,1,close,5,4,4,4,4,4,20,96,5,0.885674893237827,0.803094070341518,0.853095699093905,0.940792568550457,0.894489526781439,11.3414296329682,8.31906939158945,9.33966778366694,12.6165474019194,9.86152184957607,0.397611650213408
12,100,300,0.7,1,close,5,4,4,4,4,4,20,97,5,1.01942258041773,0.872997329479305,0.953464638664195,1.02030532965739,1.00291520019035,16.6277309586423,9.49349557543518,12.1964333451798,14.6667490450962,13.3041251367496,0.289086743577438
12,100,300,0.7,1,close,5,4,4,4,4,4,20,98,5,1.29915270577454,1.07939387107885,1.1036108583803,1.23558888242243,1.18005739443541,23.7108766111681,13.8614779854123,16.0513339402273,20.2834367248114,17.4747031821589,0.190649398300964
